"quantity","method","est_coverage","ci_width","bias","variance","MSE","mu","sigma","efficiency","alpha","ci_target_coverage","n_draws","asymmetry"
"HPD_L","Batches",0.386,0.041892005443136,0.0213696377493814,2.11175322545296e-05,0.000477736714729807,0,1,0.999,0.95,0.95,10000,"high"
"HPD_L","Doss",0.118,0.00312024261178642,0.00605015664274241,5.43358441825766e-05,9.08315678959316e-05,0,1,0.999,0.95,0.95,10000,"high"
"HPD_L","Doss_Opt",0.072,0.00414792523335083,0.0116099494736477,6.18332869606372e-05,0.000196500547167369,0,1,0.999,0.95,0.95,10000,"high"
"HPD_L","Doss_SBM",0.994,0.0828880721433881,0.00605015664274241,5.43358441825766e-05,9.08315678959316e-05,0,1,0.999,0.95,0.95,10000,"high"
"HPD_L","Gamma_mixture",0.002,0.0173878925581822,-0.0169850018557713,3.0707001219825e-06,0.000291554846762294,0,1,0.999,0.95,0.95,10000,"high"
"HPD_L","Gaussian_mixture",0,0.137468422924901,-0.359347381969413,0.042402431874566,0.171448167939088,0,1,0.999,0.95,0.95,10000,"high"
"HPD_L","Meeker",0.888,0.0338860575288925,0.00605015664274241,5.43358441825766e-05,9.08315678959316e-05,0,1,0.999,0.95,0.95,10000,"high"
"HPD_L","SPIn",0.788,0.030847686040945,0.000272978053397014,7.21734726295258e-05,7.21036427019032e-05,0,1,0.999,0.95,0.95,10000,"high"
"HPD_L","Stan",0.748,0.0244422707295716,0.00605015664274241,5.43358441825766e-05,9.08315678959316e-05,0,1,0.999,0.95,0.95,10000,"high"
"HPD_U","Batches",0.998,0.993839708314437,0.0320467592730062,0.0123311821140163,0.0133335145296903,0,1,0.999,0.95,0.95,10000,"high"
"HPD_U","Doss",0.95,0.427507649918364,0.00445370827066735,0.0119466261166821,0.011942568381809,0,1,0.999,0.95,0.95,10000,"high"
"HPD_U","Doss_Opt",0.95,0.428909550033088,0.016915398256052,0.0123474775975882,0.0126089133405538,0,1,0.999,0.95,0.95,10000,"high"
"HPD_U","Doss_SBM",0.286,0.0886435306713476,0.00445370827066735,0.0119466261166821,0.011942568381809,0,1,0.999,0.95,0.95,10000,"high"
"HPD_U","Gamma_mixture",0.952,0.447252903399794,-0.00404090914156857,0.0132417351345217,0.0132315806109431,0,1,0.999,0.95,0.95,10000,"high"
"HPD_U","Gaussian_mixture",0.542,0.418302761754688,0.151940089194264,0.0554255084286956,0.0784004481161993,0,1,0.999,0.95,0.95,10000,"high"
"HPD_U","Meeker",0.956,0.435381940562665,0.00445370827066735,0.0119466261166821,0.011942568381809,0,1,0.999,0.95,0.95,10000,"high"
"HPD_U","SPIn",0.954,0.434577850251629,0.0051706584745794,0.0119508923298212,0.0119537262542223,0,1,0.999,0.95,0.95,10000,"high"
"HPD_U","Stan",0.952,0.446064890085287,0.00445370827066735,0.0119466261166821,0.011942568381809,0,1,0.999,0.95,0.95,10000,"high"
