"quantity","method","est_coverage","ci_width","bias","variance","MSE","mu","sigma","efficiency","alpha","ci_target_coverage","n_draws","asymmetry"
"HPD_L","Batches",0.99,0.948399666176103,0.0697135859859144,0.0114859176014598,0.0163229298372723,4.01,0.0352,0.1,0.95,0.95,10000,"none"
"HPD_L","Doss",0.808,0.350634783429117,0.0118425797527957,0.0177869103156408,0.0178915831902108,4.01,0.0352,0.1,0.95,0.95,10000,"none"
"HPD_L","Doss_Opt",0.83,0.353549238845939,-0.00666430018091043,0.0163663027009345,0.0163779829924339,4.01,0.0352,0.1,0.95,0.95,10000,"none"
"HPD_L","Doss_SBM",0.778,0.322541736105415,0.0118425797527957,0.0177869103156408,0.0178915831902108,4.01,0.0352,0.1,0.95,0.95,10000,"none"
"HPD_L","Gamma_mixture",0.746,0.196782802464665,-0.00677896732432568,0.00751201620913186,0.00754294657469787,4.01,0.0352,0.1,0.95,0.95,10000,"none"
"HPD_L","Gaussian_mixture",0.708,0.195884783121791,0.00755853890361713,0.00879846341561853,0.00883799799914478,4.01,0.0352,0.1,0.95,0.95,10000,"none"
"HPD_L","Meeker",0.524,0.197872658006534,0.0117406662904381,0.0178042370331576,0.0179064718040347,4.01,0.0352,0.1,0.95,0.95,10000,"none"
"HPD_L","SPIn",0.528,0.198808132800672,0.00851249219970066,0.0178893976495426,0.0179260813776935,4.01,0.0352,0.1,0.95,0.95,10000,"none"
"HPD_L","Stan",0.858,0.383218663370334,0.0117406662904381,0.0178042370331576,0.0179064718040347,4.01,0.0352,0.1,0.95,0.95,10000,"none"
"HPD_U","Batches",0.998,1.03805588980817,-0.0718242562810225,0.0126430985799562,0.0177765361731183,4.01,0.0352,0.1,0.95,0.95,10000,"none"
"HPD_U","Doss",0.846,0.396444538781621,-0.0136528483049229,0.0184620348298123,0.0186115110269899,4.01,0.0352,0.1,0.95,0.95,10000,"none"
"HPD_U","Doss_Opt",0.862,0.395710152036528,-0.025444437987282,0.0168357575594511,0.0174495054688208,4.01,0.0352,0.1,0.95,0.95,10000,"none"
"HPD_U","Doss_SBM",0.808,0.36364099610504,-0.0136528483049229,0.0184620348298123,0.0186115110269899,4.01,0.0352,0.1,0.95,0.95,10000,"none"
"HPD_U","Gamma_mixture",0.762,0.208421998091357,-0.0110601125791325,0.0076924555081904,0.0077993966874371,4.01,0.0352,0.1,0.95,0.95,10000,"none"
"HPD_U","Gaussian_mixture",0.714,0.20462818890934,-0.00765241886485002,0.00881710646363446,0.00885803176519031,4.01,0.0352,0.1,0.95,0.95,10000,"none"
"HPD_U","Meeker",0.582,0.216185861423089,-0.0136528483049229,0.0184620348298123,0.0186115110269899,4.01,0.0352,0.1,0.95,0.95,10000,"none"
"HPD_U","SPIn",0.578,0.216471329250566,-0.010533717128851,0.018522592400582,0.0185965064123314,4.01,0.0352,0.1,0.95,0.95,10000,"none"
"HPD_U","Stan",0.868,0.429168191877901,-0.0136528483049229,0.0184620348298123,0.0186115110269899,4.01,0.0352,0.1,0.95,0.95,10000,"none"
