"quantity","method","est_coverage","ci_width","bias","variance","MSE","mu","sigma","efficiency","alpha","ci_target_coverage","n_draws","asymmetry"
"HPD_L","Batches",0.986,0.931342827369093,0.0987521323178648,0.00994402262838706,0.0196761182204554,2.58,0.254,0.999,0.95,0.95,10000,"moderate"
"HPD_L","Doss",0.544,0.234602648423755,0.0245969868733033,0.0220314838835841,0.0225924326790624,2.58,0.254,0.999,0.95,0.95,10000,"moderate"
"HPD_L","Doss_Opt",0.572,0.234701333873571,0.0414358799286626,0.018382168709011,0.0200623365170555,2.58,0.254,0.999,0.95,0.95,10000,"moderate"
"HPD_L","Doss_SBM",0.348,0.137928942189554,0.0245969868733033,0.0220314838835841,0.0225924326790624,2.58,0.254,0.999,0.95,0.95,10000,"moderate"
"HPD_L","Gamma_mixture",0.988,0.266343678671881,0.0320910065678403,0.00203404356477758,0.00305980818018519,2.58,0.254,0.999,0.95,0.95,10000,"moderate"
"HPD_L","Gaussian_mixture",0.972,0.283703644776071,-0.00238071056285969,0.00399531298592602,0.00399299014273828,2.58,0.254,0.999,0.95,0.95,10000,"moderate"
"HPD_L","Meeker",0.614,0.267829035925982,0.0243074167243994,0.022064182964362,0.0226109051062469,2.58,0.254,0.999,0.95,0.95,10000,"moderate"
"HPD_L","SPIn",0.604,0.269656822991249,0.016920568029597,0.0225416506769186,0.0227828729980089,2.58,0.254,0.999,0.95,0.95,10000,"moderate"
"HPD_L","Stan",0.622,0.278807764853437,0.0243074167243994,0.022064182964362,0.0226109051062469,2.58,0.254,0.999,0.95,0.95,10000,"moderate"
"HPD_U","Batches",0.998,1.27036231657337,-0.0700078382265647,0.02045944555583,0.0253196240778752,2.58,0.254,0.999,0.95,0.95,10000,"moderate"
"HPD_U","Doss",0.802,0.459628076564784,-0.0245533412213101,0.0311279637575918,0.0316685743952067,2.58,0.254,0.999,0.95,0.95,10000,"moderate"
"HPD_U","Doss_Opt",0.86,0.462245016720376,0.00417306072724283,0.027334289496863,0.0272970353537026,2.58,0.254,0.999,0.95,0.95,10000,"moderate"
"HPD_U","Doss_SBM",0.292,0.142502280041214,-0.0245533412213101,0.0311279637575918,0.0316685743952067,2.58,0.254,0.999,0.95,0.95,10000,"moderate"
"HPD_U","Gamma_mixture",0.948,0.464567320593395,0.0910690856855371,0.0101639676121251,0.0184372180445006,2.58,0.254,0.999,0.95,0.95,10000,"moderate"
"HPD_U","Gaussian_mixture",0.846,0.5052318710805,0.0933122821171328,0.0201099696849817,0.0287769317395191,2.58,0.254,0.999,0.95,0.95,10000,"moderate"
"HPD_U","Meeker",0.804,0.476411156021515,-0.0245533412213101,0.0311279637575918,0.0316685743952067,2.58,0.254,0.999,0.95,0.95,10000,"moderate"
"HPD_U","SPIn",0.8,0.476624694368331,-0.0191536710025598,0.0312550958569455,0.0315594487781059,2.58,0.254,0.999,0.95,0.95,10000,"moderate"
"HPD_U","Stan",0.824,0.491849191449702,-0.0245533412213101,0.0311279637575918,0.0316685743952067,2.58,0.254,0.999,0.95,0.95,10000,"moderate"
