"quantity","method","est_coverage","ci_width","bias","variance","MSE","mu","sigma","efficiency","alpha","ci_target_coverage","n_draws","asymmetry"
"HPD_L","Batches",0.386,0.0540942761548496,0.0269592720975312,4.02621146169672e-05,0.000766983942416457,0,1,0.1,0.95,0.95,10000,"high"
"HPD_L","Doss",0.112,0.00346626840622441,0.00634177964191076,7.73867364800665e-05,0.00011745013203366,0,1,0.1,0.95,0.95,10000,"high"
"HPD_L","Doss_Opt",0.056,0.00529811017162906,0.012400777349488,8.27055445163685e-05,0.00023631941229891,0,1,0.1,0.95,0.95,10000,"high"
"HPD_L","Doss_SBM",0.862,0.0312446550098326,0.00634177964191076,7.73867364800665e-05,0.00011745013203366,0,1,0.1,0.95,0.95,10000,"high"
"HPD_L","Gamma_mixture",0.016,0.017601203587254,-0.0164035334486519,5.81318473950871e-06,0.000274877467971073,0,1,0.1,0.95,0.95,10000,"high"
"HPD_L","Gaussian_mixture",0,0.139603384234999,-0.320229040300119,0.0306672231278884,0.133152526933168,0,1,0.1,0.95,0.95,10000,"high"
"HPD_L","Meeker",0.862,0.0336515940263581,0.00634177964191076,7.73867364800665e-05,0.00011745013203366,0,1,0.1,0.95,0.95,10000,"high"
"HPD_L","SPIn",0.73,0.0305488961516418,0.000438921318907405,8.69378009126969e-05,8.69565772350629e-05,0,1,0.1,0.95,0.95,10000,"high"
"HPD_L","Stan",0.678,0.0236323167326736,0.00634177964191076,7.73867364800665e-05,0.00011745013203366,0,1,0.1,0.95,0.95,10000,"high"
"HPD_U","Batches",1,2.12269950166775,0.0340027222310624,0.0542429652011753,0.0552906643898957,0,1,0.1,0.95,0.95,10000,"high"
"HPD_U","Doss",0.932,0.881576919955722,0.003578057832633,0.0536156670266832,0.0535212381904835,0,1,0.1,0.95,0.95,10000,"high"
"HPD_U","Doss_Opt",0.934,0.884804096399261,0.0168581045971891,0.0534107805847418,0.053588154714182,0,1,0.1,0.95,0.95,10000,"high"
"HPD_U","Doss_SBM",0.958,0.957155659401339,0.003578057832633,0.0536156670266832,0.0535212381904835,0,1,0.1,0.95,0.95,10000,"high"
"HPD_U","Gamma_mixture",0.676,0.443536696689639,-0.000720981988974629,0.0536338062168652,0.0535270584194599,0,1,0.1,0.95,0.95,10000,"high"
"HPD_U","Gaussian_mixture",0.504,0.424090564133923,0.121140647671392,0.0928709443443831,0.107360258973939,0,1,0.1,0.95,0.95,10000,"high"
"HPD_U","Meeker",0.658,0.433521997587453,0.003578057832633,0.0536156670266832,0.0535212381904835,0,1,0.1,0.95,0.95,10000,"high"
"HPD_U","SPIn",0.652,0.432644060586629,0.00509079931658347,0.0538477100412099,0.0537659308588092,0,1,0.1,0.95,0.95,10000,"high"
"HPD_U","Stan",0.944,0.932215446991312,0.003578057832633,0.0536156670266832,0.0535212381904835,0,1,0.1,0.95,0.95,10000,"high"
