"quantity","method","est_coverage","ci_width","bias","variance","MSE","mu","sigma","efficiency","alpha","ci_target_coverage","n_draws","asymmetry"
"BCI_L","Batches",0.9949,0.672526987670233,0.0432171936987934,0.00563152229571065,0.0074986849746801,4.01,0.0352,0.999,0.95,0.95,4000,"none"
"BCI_L","Doss",0.9348,0.287062489607478,0.00567617007298652,0.00580645334065373,0.00583809160201714,4.01,0.0352,0.999,0.95,0.95,4000,"none"
"BCI_L","Meeker",0.9533,0.307603566581017,0.00548198315413421,0.00580572636289102,0.00583519792955694,4.01,0.0352,0.999,0.95,0.95,4000,"none"
"BCI_L","Stan",0.9447,0.317908157725254,0.00548198315413421,0.00580572636289102,0.00583519792955694,4.01,0.0352,0.999,0.95,0.95,4000,"none"
"BCI_U","Batches",0.9949,0.76969253013569,-0.0476910148320885,0.00737194661489308,0.00964564231594608,4.01,0.0352,0.999,0.95,0.95,4000,"none"
"BCI_U","Doss",0.9294,0.328888876343296,-0.00581871200431531,0.00779256162899287,0.00782563978221913,4.01,0.0352,0.999,0.95,0.95,4000,"none"
"BCI_U","Meeker",0.9499,0.35331441823314,-0.00559440103962424,0.00779173418982826,0.00782225233940142,4.01,0.0352,0.999,0.95,0.95,4000,"none"
"BCI_U","Stan",0.9385,0.361989289627768,-0.00559440103962424,0.00779173418982826,0.00782225233940142,4.01,0.0352,0.999,0.95,0.95,4000,"none"
