"quantity","method","est_coverage","ci_width","bias","variance","MSE","mu","sigma","efficiency","alpha","ci_target_coverage","n_draws","asymmetry"
"BCI_L","Batches",0.9904,1.8011088600009,0.153433899920493,0.042013505908749,0.0655512662029701,4.01,0.0352,0.05,0.95,0.95,4000,"none"
"BCI_L","Doss",0.8957,0.738276066792065,0.0149647968526488,0.0450612617822227,0.0452807008008855,4.01,0.0352,0.05,0.95,0.95,4000,"none"
"BCI_L","Meeker",0.53,0.305020722855395,0.0147745306049195,0.0450658493074204,0.0452796294770854,4.01,0.0352,0.05,0.95,0.95,4000,"none"
"BCI_L","Stan",0.911,0.798361842844318,0.0147745306049195,0.0450658493074204,0.0452796294770854,4.01,0.0352,0.05,0.95,0.95,4000,"none"
"BCI_U","Batches",0.9886,2.06179978050956,-0.166243065834963,0.0545733953505023,0.0822046949491751,4.01,0.0352,0.05,0.95,0.95,4000,"none"
"BCI_U","Doss",0.8926,0.844974854611537,-0.0173660192951571,0.0592334888373105,0.0595291441145865,4.01,0.0352,0.05,0.95,0.95,4000,"none"
"BCI_U","Meeker",0.5318,0.350909001714457,-0.0171486026405088,0.0592393925155866,0.0595275431488571,4.01,0.0352,0.05,0.95,0.95,4000,"none"
"BCI_U","Stan",0.9092,0.90641349377682,-0.0171486026405088,0.0592393925155866,0.0595275431488571,4.01,0.0352,0.05,0.95,0.95,4000,"none"
