"quantity","method","est_coverage","ci_width","bias","variance","MSE","mu","sigma","efficiency","alpha","ci_target_coverage","n_draws","asymmetry"
"BCI_L","Batches",0.9938,0.0593284261431751,0.00516961476267438,4.49169128548807e-05,7.16373379580561e-05,0,1,0.5,0.95,0.95,4000,"high"
"BCI_L","Doss",0.9746,0.0304875546627891,0.000574304664932933,4.43587690466337e-05,4.46841590178927e-05,0,1,0.5,0.95,0.95,4000,"high"
"BCI_L","Meeker",0.9223,0.0236834705905548,0.000559325244826618,4.43494012864715e-05,4.46578110758432e-05,0,1,0.5,0.95,0.95,4000,"high"
"BCI_L","Stan",0.9419,0.0271253133897833,0.000559325244826618,4.43494012864715e-05,4.46578110758432e-05,0,1,0.5,0.95,0.95,4000,"high"
"BCI_U","Batches",0.9945,2.88874943239675,-0.110050689868297,0.104309038809442,0.11640976224605,0,1,0.5,0.95,0.95,4000,"high"
"BCI_U","Doss",0.9181,1.23910171016439,-0.0151288179636068,0.108812813188875,0.109030813040532,0,1,0.5,0.95,0.95,4000,"high"
"BCI_U","Meeker",0.9274,1.22163723170115,-0.014371459433298,0.108821478593632,0.109017135292015,0,1,0.5,0.95,0.95,4000,"high"
"BCI_U","Stan",0.9369,1.3449798412268,-0.014371459433298,0.108821478593632,0.109017135292015,0,1,0.5,0.95,0.95,4000,"high"
