"quantity","method","est_coverage","ci_width","bias","variance","MSE","mu","sigma","efficiency","alpha","ci_target_coverage","n_draws","asymmetry"
"HPD_L","Doss",0.623,0.354609688100546,0.0577855688177582,0.0372596459686685,0.0405615582862917,2.58,0.254,0.999,0.95,0.95,4000,"moderate"
"HPD_L","Gamma_mixture",0.998,0.422544414456771,0.0292187355194501,0.00455850144874598,0.00540311895120406,2.58,0.254,0.999,0.95,0.95,4000,"moderate"
"HPD_L","Gaussian_mixture",0.986,0.456518957288801,0.0115247867346824,0.00911019126833295,0.0092247915950762,2.58,0.254,0.999,0.95,0.95,4000,"moderate"
"HPD_L","Meeker",0.7,0.437711966630475,0.0424851209010348,0.0390791374828924,0.0408059647059022,2.58,0.254,0.999,0.95,0.95,4000,"moderate"
"HPD_U","Doss",0.847,0.719717668225995,-0.0105179681794972,0.0605696497207627,0.0606197077256668,2.58,0.254,0.999,0.95,0.95,4000,"moderate"
"HPD_U","Gamma_mixture",0.964,0.731797366919563,0.0941056172048724,0.0245271010111431,0.0333339139986308,2.58,0.254,0.999,0.95,0.95,4000,"moderate"
"HPD_U","Gaussian_mixture",0.838,0.780212249417429,0.160462927528673,0.0466276397644706,0.072282735596014,2.58,0.254,0.999,0.95,0.95,4000,"moderate"
"HPD_U","Meeker",0.848,0.766672874285787,-0.0342996524968631,0.0603925810070335,0.061448262006425,2.58,0.254,0.999,0.95,0.95,4000,"moderate"
