quantity,method,est_coverage,ci_width,bias,variance,MSE,mu,sigma,efficiency,alpha,ci_target_coverage,n_draws,asymmetry
BCI_L,Batches,0.9953,0.758942213422882,0.0511834324982794,0.00704092201210548,0.00965996168221019,2.58,0.254,0.999,0.95,0.95,4000,moderate
BCI_L,Doss,0.932,0.319299467216617,0.00574263423737483,0.00734445261516612,0.00737669601788887,2.58,0.254,0.999,0.95,0.95,4000,moderate
BCI_L,Meeker,0.9512,0.344921699750327,0.00552684226282926,0.00734276932453003,0.00737258103299577,2.58,0.254,0.999,0.95,0.95,4000,moderate
BCI_L,Stan,0.9436,0.3573544411969,0.00552684226282926,0.00734276932453003,0.00737258103299577,2.58,0.254,0.999,0.95,0.95,4000,moderate
BCI_U,Batches,0.9943,2.0378898438727,-0.111465338602894,0.0517187826493869,0.0641381324809798,2.58,0.254,0.999,0.95,0.95,4000,moderate
BCI_U,Doss,0.9364,0.883409071982552,-0.0103628750675695,0.0540473408227149,0.0541493252682987,2.58,0.254,0.999,0.95,0.95,4000,moderate
BCI_U,Meeker,0.9527,0.941178524481021,-0.00977512905820733,0.0540459120997932,0.0541360606566878,2.58,0.254,0.999,0.95,0.95,4000,moderate
BCI_U,Stan,0.9382,0.96070786474396,-0.00977512905820733,0.0540459120997932,0.0541360606566878,2.58,0.254,0.999,0.95,0.95,4000,moderate
