"quantity","method","est_coverage","ci_width","bias","variance","MSE","mu","sigma","efficiency","alpha","ci_target_coverage","n_draws","asymmetry"
"BCI_L","Batches",0.9934,0.0534713528245333,0.00447185626942922,3.58153569562057e-05,5.58092739149435e-05,0,1,0.999,0.95,0.95,4000,"high"
"BCI_L","Doss",0.9773,0.0279924340263552,0.000461267064778619,3.54144815317581e-05,3.56237073886544e-05,0,1,0.999,0.95,0.95,4000,"high"
"BCI_L","Meeker",0.9499,0.0236973382667603,0.00044618028030768,3.54050951089723e-05,3.56006314419968e-05,0,1,0.999,0.95,0.95,4000,"high"
"BCI_L","Stan",0.9442,0.0247116947937729,0.00044618028030768,3.54050951089723e-05,3.56006314419968e-05,0,1,0.999,0.95,0.95,4000,"high"
"BCI_U","Batches",0.9945,2.59812668891978,-0.0954309573269207,0.0853757667450994,0.0944742967847575,0,1,0.999,0.95,0.95,4000,"high"
"BCI_U","Doss",0.9241,1.1415162874939,-0.00677848667309259,0.0884707738297116,0.088507874633906,0,1,0.999,0.95,0.95,4000,"high"
"BCI_U","Meeker",0.949,1.22355575876641,-0.0060070723286831,0.0884936334647296,0.0885208690193451,0,1,0.999,0.95,0.95,4000,"high"
"BCI_U","Stan",0.9407,1.23117472584761,-0.0060070723286831,0.0884936334647296,0.0885208690193451,0,1,0.999,0.95,0.95,4000,"high"
