"quantity","method","est_coverage","ci_width","bias","variance","MSE","mu","sigma","efficiency","alpha","ci_target_coverage","n_draws","asymmetry"
"HPD_L","Doss",0.802,0.843186378654513,0.041414402871287,0.0889720789678897,0.0905982596541071,2.58,0.254,0.05,0.95,0.95,4000,"moderate"
"HPD_L","Gamma_mixture",0.656,0.427337826176194,0.0206803040636115,0.0508365760157375,0.0511625778398695,2.58,0.254,0.05,0.95,0.95,4000,"moderate"
"HPD_L","Gaussian_mixture",0.66,0.45335201208758,0.0330010187043719,0.0591746066283151,0.0601453246505847,2.58,0.254,0.05,0.95,0.95,4000,"moderate"
"HPD_L","Meeker",0.522,0.433641965828945,0.0321496415404729,0.0901736621489472,0.0910269142758302,2.58,0.254,0.05,0.95,0.95,4000,"moderate"
"HPD_U","Doss",0.918,1.96049006186441,-0.00643162217806055,0.284212126423559,0.283969280060977,2.58,0.254,0.05,0.95,0.95,4000,"moderate"
"HPD_U","Gamma_mixture",0.498,0.737170410662939,0.0809192629368682,0.251919877095494,0.257963964455549,2.58,0.254,0.05,0.95,0.95,4000,"moderate"
"HPD_U","Gaussian_mixture",0.502,0.765405384290312,0.159870599609774,0.260554723467498,0.285592222640152,2.58,0.254,0.05,0.95,0.95,4000,"moderate"
"HPD_U","Meeker",0.502,0.767732845596112,-0.0254221566707525,0.282912163674259,0.282992625396703,2.58,0.254,0.05,0.95,0.95,4000,"moderate"
