"quantity","method","est_coverage","ci_width","bias","variance","MSE","mu","sigma","efficiency","alpha","ci_target_coverage","n_draws","asymmetry"
"HPD_L","Batches",0.426,0.0421403574071434,0.021382739432616,2.41444542674827e-05,0.000481317711002098,0,1,0.999,0.95,0.95,10000,"high"
"HPD_L","Doss",0.065,0.00364121684384595,0.00927321468281361,7.00089016264176e-05,0.000155931403278341,0,1,0.999,0.95,0.95,10000,"high"
"HPD_L","Doss_SBM",0.996,0.0825274362300825,0.0061474043239728,5.26331488651866e-05,9.03184624898557e-05,0,1,0.999,0.95,0.95,10000,"high"
"HPD_L","Gamma_mixture",0,0.0174363614220891,-0.016860350967773,3.08338149133993e-06,0.00028734864948484,0,1,0.999,0.95,0.95,10000,"high"
"HPD_L","Gaussian_mixture",0,0.135925222560745,-0.349796823040965,0.0389927952256891,0.16127262704479,0,1,0.999,0.95,0.95,10000,"high"
"HPD_L","Meeker",0.912,0.034466721069377,0.0061474043239728,5.26331488651866e-05,9.03184624898557e-05,0,1,0.999,0.95,0.95,10000,"high"
"HPD_L","SPIn",0.766,0.0314082057703577,0.000488241924300122,6.60043586917884e-05,6.61107301510491e-05,0,1,0.999,0.95,0.95,10000,"high"
"HPD_L","Stan",0.752,0.0240694438721756,0.0061474043239728,5.26331488651866e-05,9.03184624898557e-05,0,1,0.999,0.95,0.95,10000,"high"
"HPD_U","Batches",1,0.96928544155838,0.0272247852131518,0.010624747873821,0.0113446873079756,0,1,0.999,0.95,0.95,10000,"high"
"HPD_U","Doss",0.957,0.425372214589926,0.00600185816041432,0.0109268453196434,0.0109519407757015,0,1,0.999,0.95,0.95,10000,"high"
"HPD_U","Doss_SBM",0.32,0.0881187448216716,-0.000525427854905327,0.0107300661766948,0.0107088821187721,0,1,0.999,0.95,0.95,10000,"high"
"HPD_U","Gamma_mixture",0.954,0.443894835272105,-0.0113525627541141,0.0114046396043067,0.0115107110061842,0,1,0.999,0.95,0.95,10000,"high"
"HPD_U","Gaussian_mixture",0.58,0.412443997476843,0.137407242035633,0.0488928658664108,0.0676758302985169,0,1,0.999,0.95,0.95,10000,"high"
"HPD_U","Meeker",0.964,0.431929175054013,-0.000525427854905327,0.0107300661766948,0.0107088821187721,0,1,0.999,0.95,0.95,10000,"high"
"HPD_U","SPIn",0.968,0.430902228121975,0.000480171105555462,0.0107401949314361,0.0107189451058638,0,1,0.999,0.95,0.95,10000,"high"
"HPD_U","Stan",0.958,0.439250295178773,-0.000525427854905327,0.0107300661766948,0.0107088821187721,0,1,0.999,0.95,0.95,10000,"high"
