"quantity","method","est_coverage","ci_width","bias","variance","MSE","mu","sigma","efficiency","alpha","ci_target_coverage","n_draws","asymmetry"
"HPD_L","Batches",0.994,1.24695804875649,0.0933608019413417,0.0205633917829552,0.0292385043385197,4.01,0.0352,0.05,0.95,0.95,10000,"none"
"HPD_L","Doss",0.875,0.490192382675073,-0.00395998189283993,0.0253691822430679,0.0253594945174164,4.01,0.0352,0.05,0.95,0.95,10000,"none"
"HPD_L","Doss_SBM",0.816,0.428614356599071,0.00114308336030345,0.0263172991125775,0.026265971153921,4.01,0.0352,0.05,0.95,0.95,10000,"none"
"HPD_L","Gamma_mixture",0.56,0.19501463488659,-0.00342400820420538,0.0159036931462201,0.0158836095921101,4.01,0.0352,0.05,0.95,0.95,10000,"none"
"HPD_L","Gaussian_mixture",0.55,0.195511564856151,0.00501097249786926,0.0165435373027736,0.0165355600735425,4.01,0.0352,0.05,0.95,0.95,10000,"none"
"HPD_L","Meeker",0.444,0.197942628653687,0.000998852592369644,0.0263190666694808,0.0262674262426431,4.01,0.0352,0.05,0.95,0.95,10000,"none"
"HPD_L","SPIn",0.442,0.198719083483055,-0.00227740799641825,0.0263966947329161,0.0263490879306324,4.01,0.0352,0.05,0.95,0.95,10000,"none"
"HPD_L","Stan",0.892,0.526258495638773,0.000998852592369644,0.0263190666694808,0.0262674262426431,4.01,0.0352,0.05,0.95,0.95,10000,"none"
"HPD_U","Batches",0.994,1.30900063111147,-0.109658885331675,0.0224758720111303,0.0344559913992936,4.01,0.0352,0.05,0.95,0.95,10000,"none"
"HPD_U","Doss",0.875,0.535224394851981,-0.0317390903326009,0.0264637908147389,0.0274446968790651,4.01,0.0352,0.05,0.95,0.95,10000,"none"
"HPD_U","Doss_SBM",0.846,0.478080615340371,-0.0300362868702024,0.0268958497549845,0.0277442365844236,4.01,0.0352,0.05,0.95,0.95,10000,"none"
"HPD_U","Gamma_mixture",0.604,0.208043015585669,-0.0185624509110688,0.0164764950978979,0.0167881066915279,4.01,0.0352,0.05,0.95,0.95,10000,"none"
"HPD_U","Gaussian_mixture",0.572,0.205215978857497,-0.0158699211134117,0.0178940905896057,0.0181101568045724,4.01,0.0352,0.05,0.95,0.95,10000,"none"
"HPD_U","Meeker",0.498,0.213781529268257,-0.0300362868702024,0.0268958497549845,0.0277442365844236,4.01,0.0352,0.05,0.95,0.95,10000,"none"
"HPD_U","SPIn",0.494,0.213920659691649,-0.0268612914922471,0.0269800254657943,0.0276475943954941,4.01,0.0352,0.05,0.95,0.95,10000,"none"
"HPD_U","Stan",0.892,0.576943697784889,-0.0300362868702024,0.0268958497549845,0.0277442365844236,4.01,0.0352,0.05,0.95,0.95,10000,"none"
