"quantity","method","est_coverage","ci_width","bias","variance","MSE","mu","sigma","efficiency","alpha","ci_target_coverage","n_draws","asymmetry"
"HPD_L","Batches",0.466,0.0429899683707471,0.0210817974222417,2.2880472663344e-05,0.000467276894270455,0,1,0.5,0.95,0.95,10000,"high"
"HPD_L","Doss",0.079,0.00373546329387131,0.00888983281364807,6.84327196155754e-05,0.000147393414350574,0,1,0.5,0.95,0.95,10000,"high"
"HPD_L","Doss_SBM",0.714,0.0199484096419817,0.00580067322694385,5.4900439854706e-05,8.84384488607799e-05,0,1,0.5,0.95,0.95,10000,"high"
"HPD_L","Gamma_mixture",0.002,4.95729179064874e+36,0.469474544818603,118.338262470983,118.321992294274,0,1,0.5,0.95,0.95,10000,"high"
"HPD_L","Gaussian_mixture",0.002,5.69206229471874e+116,-0.182648302812541,17.4501066218344,17.448566811111,0,1,0.5,0.95,0.95,10000,"high"
"HPD_L","Meeker",0.896,0.0337405533643489,0.00580067322694385,5.4900439854706e-05,8.84384488607799e-05,0,1,0.5,0.95,0.95,10000,"high"
"HPD_L","SPIn",0.754,0.0304615065268786,0.000303539246083196,6.84548447392932e-05,6.84100711237274e-05,0,1,0.5,0.95,0.95,10000,"high"
"HPD_L","Stan",0.74,0.0240618979186261,0.00580067322694385,5.4900439854706e-05,8.84384488607799e-05,0,1,0.5,0.95,0.95,10000,"high"
"HPD_U","Batches",0.998,1.16103674210426,0.0372347153205708,0.0164182495876007,0.0177718371134295,0,1,0.5,0.95,0.95,10000,"high"
"HPD_U","Doss",0.945,0.479332346163034,0.0166433602897744,0.0162956778415934,0.016556383605487,0,1,0.5,0.95,0.95,10000,"high"
"HPD_U","Doss_SBM",0.996,0.713275821255304,0.00998296125407934,0.016204983810549,0.0162722333583283,0,1,0.5,0.95,0.95,10000,"high"
"HPD_U","Gamma_mixture",0.91,4.95729179064874e+36,0.473000693234004,113.373096532031,113.370079994766,0,1,0.5,0.95,0.95,10000,"high"
"HPD_U","Gaussian_mixture",0.566,5.69206229471874e+116,0.328111620999809,15.3971902037289,15.4740530591566,0,1,0.5,0.95,0.95,10000,"high"
"HPD_U","Meeker",0.914,0.433392744708346,0.00998296125407934,0.016204983810549,0.0162722333583283,0,1,0.5,0.95,0.95,10000,"high"
"HPD_U","SPIn",0.92,0.432024089652249,0.0113227468294494,0.0162508135768616,0.0163465165454717,0,1,0.5,0.95,0.95,10000,"high"
"HPD_U","Stan",0.946,0.499754841976842,0.00998296125407934,0.016204983810549,0.0162722333583283,0,1,0.5,0.95,0.95,10000,"high"
