"p","est_coverage","ci_width","bias","variance","MSE"
1e-10,0.002,1.61539988353556,4.05647642265377,0.303762562137061,16.7581560045587
1e-09,0.002,1.61539988353556,3.4887446130565,0.303762562137061,12.4744940121435
1e-08,0.01,1.61539988353556,2.87823140927631,0.303762562137061,8.5873710823575
1e-07,0.062,1.61539988353556,2.21597492774426,0.303762562137061,5.21369991740396
1e-06,0.222,1.61539988353556,1.48946151972228,0.303762562137061,2.52165065574619
1e-05,0.51,1.61539988353556,0.680307844387168,0.303762562137061,0.765973800147502
1e-04,0.836,1.61539988353556,-0.24043258792251,0.303762562137061,0.360962866347902
0.001,0.924,0.607341613227533,-0.0283230454067966,0.0276088942795269,0.0283558713920833
0.01,0.936,0.250421808596031,-0.00138650095790334,0.00448064041675194,0.0044736015208247
0.1,0.956,0.123344953547614,-0.00059337949919852,0.000952553589681299,0.000951000581732005
0.9,0.952,0.13463014641168,-0.00168476244786716,0.00110208898079879,0.00110272322734293
0.99,0.936,0.295730226113489,-0.00415225451327245,0.00602663134363793,0.00603181929849364
0.999,0.87,0.696408233893098,-0.0335621167783603,0.0401053684554454,0.0411515734011788
0.9999,0.6,1.08794258429099,-0.264362855183364,0.200707693088931,0.270193996903454
0.99999,0,0,-0.894280503228079,0.411913633314345,1.21082742450158
0.999999,0,0,-2.00574472947406,0.411913633314345,4.4341017258607
0.9999999,0,0,-3.03706405204564,0.411913633314345,9.6348478622756
0.99999999,0,0,-4.00601311080883,0.411913633314345,16.4592308500199
0.999999999,0,0,-4.92471821769501,0.411913633314345,24.6639393297448
0.9999999999,0,0,-5.80187969492507,0.411913633314345,34.0728978004315
