"p","est_coverage","ci_width","bias","variance","MSE"
1e-04,0.986,0.0684559885245337,0.0070396478208845,0.000115059304275576,0.000164385827109109
0.0101989898989899,0.974,0.0753642869399649,0.00194074826033516,0.00020912792106055,0.000212476169028422
0.0202979797979798,0.976,0.0837087070875031,0.00162283634688145,0.000266059721167649,0.000268161199534073
0.0303969696969697,0.974,0.0894154203927696,0.00147931184569,0.000306817650295733,0.00030839237853194
0.0404959595959596,0.978,0.0952096841265574,0.00141259829037225,0.000337080017245882,0.000338401291141353
0.0505949494949495,0.98,0.100233356543772,0.001377706955361,0.000368450097661862,0.000369611273921388
0.0606939393939394,0.98,0.105116210820576,0.00143103045473793,0.000406109072883421,0.000407344702900041
0.0707929292929293,0.98,0.10976006227265,0.00137946456809803,0.000444479878674416,0.000445493841411705
0.0808919191919192,0.982,0.114242747133403,0.00151788774100726,0.000486743209640647,0.000488073706415666
0.0909909090909091,0.982,0.118715807438118,0.00149974555493193,0.000527938626616729,0.000529131986093033
0.101089898989899,0.978,0.122962321964631,0.00161594045506948,0.000569862920221687,0.000571334457935574
0.111188888888889,0.98,0.12728748895544,0.00159272021587478,0.000612506379762699,0.00061381812468923
0.121287878787879,0.98,0.131398158369155,0.00173957201292488,0.000659705914534192,0.000661412613493276
0.131386868686869,0.98,0.135525602388558,0.00188767557095268,0.0007011186889983,0.000703279770681475
0.141485858585859,0.98,0.139671812691071,0.00185680048760781,0.000741769415340904,0.000743733584561003
0.151584848484848,0.982,0.143780923670525,0.0019114497115453,0.000796157514918051,0.000798218839887981
0.161683838383838,0.978,0.147898612525912,0.00186661940636085,0.000847179839975964,0.000848969748304215
0.171782828282828,0.982,0.152126295620652,0.00180551174599511,0.000898045439770303,0.000899509221555689
0.181881818181818,0.988,0.156413537572517,0.00181242689593881,0.000952034599256097,0.000953415421310707
0.191980808080808,0.988,0.160496971682904,0.00169877583864446,0.00101491159072278,0.0010157676068913
0.202079797979798,0.988,0.164762632013555,0.00164994935724718,0.00107651673571382,0.00107708603512387
0.212178787878788,0.986,0.169115027962593,0.0015744204221335,0.00113149895570738,0.00113171475746159
0.222277777777778,0.988,0.173561167144436,0.00158717843556543,0.00119141496114928,0.00119155126661331
0.232376767676768,0.986,0.1777890974064,0.00155541579897136,0.0012582153798605,0.00125811826740846
0.242475757575758,0.982,0.182278122458841,0.00150790895447144,0.00132518917937354,0.00132481259042977
0.252574747474747,0.984,0.186682088161211,0.00141778569981703,0.00139248551169856,0.00139171065696577
0.262673737373737,0.982,0.191323611083771,0.0013088019465716,0.00147360899909106,0.00147237474362822
0.272772727272727,0.982,0.195991313285464,0.00135182196775686,0.00155248874897021,0.00155121119410478
0.282871717171717,0.982,0.200586331439778,0.00122199661327091,0.0016356926047157,0.00163391449522912
0.292970707070707,0.982,0.205149263409364,0.00124115138244213,0.00171718510001782,0.00171529118657192
0.303069696969697,0.982,0.210114236913649,0.00125648270202545,0.00179735336904921,0.0017953374110916
0.313168686868687,0.982,0.214881331548384,0.00125966070777569,0.00188216415496385,0.00187998657175263
0.323267676767677,0.982,0.219791171156577,0.0012308869451452,0.00197957497255098,0.00197713090527761
0.333366666666667,0.982,0.22546742244221,0.00107702097242348,0.00207464961011522,0.00207166028507003
0.343465656565657,0.982,0.229975751452314,0.00107240571829722,0.00219156272988383,0.0021883296584487
