"p","est_coverage","ci_width","bias","variance","MSE"
1e-10,0,0.00206929379289612,0.0304045639138056,0.000107675895409531,0.0010318980504074
1e-09,0,0.00206929379289612,0.0296474192599685,0.000107675895409531,0.000986430012395065
1e-08,0.002,0.00206929379289612,0.0284778632773352,0.000107675895409531,0.000918449240461309
1e-07,0.002,0.00206929379289612,0.0266113933658422,0.000107675895409531,0.000815626800490305
1e-06,0.004,0.00206929379289612,0.0235094934742325,0.000107675895409531,0.000660156827033694
1e-05,0.016,0.00206929379289612,0.0180782115015773,0.000107675895409531,0.000434282274714474
1e-04,0.064,0.00206929379289612,0.00787379923755766,0.000107675895409531,0.000169457258052075
0.001,0.388,0.0125949467834255,0.00368667475868135,0.000145620478787307,0.000158920808606031
0.01,0.888,0.0470989869468726,0.00163475406639598,0.000188205477809033,0.000190501487711013
0.1,0.968,0.104822421915129,0.00140757917085102,0.000563576314275546,0.000564430440769209
0.9,0.91,1.12407756819103,0.00927971439327186,0.10390610184668,0.103784402742208
0.99,0.836,5.16862642260919,-0.00917366176258977,2.29990538229786,2.2953897276034
0.999,0.398,6.85640206359023,-0.163265757850438,47.942280576679,47.8730517232121
0.9999,0.016,1.40790523911871,-8.22609756068246,206.81349880095,274.068552881214
0.99999,0,0,-34.1385714684337,275.08560990936,1439.9775005949
0.999999,0,0,-78.9621819627074,275.08560990936,6509.56161900126
0.9999999,0,0,-144.133626406389,275.08560990936,21049.037699746
0.99999999,0,0,-236.672836127816,275.08560990936,56288.5667994735
0.999999999,0,0,-365.526474137528,275.08560990936,133884.138734102
0.9999999999,0,0,-542.003663759572,275.08560990936,294042.506967489
