"p","est_coverage","ci_width","bias","variance","MSE"
1e-10,0,0.00219660306912038,0.0202038011097146,3.16916705989623e-05,0.000439821866538671
1e-09,0,0.00219660306912038,0.0194466564558775,3.16916705989623e-05,0.000409800734570688
1e-08,0,0.00219660306912038,0.0182771004732442,3.16916705989623e-05,0.000365680688966828
1e-07,0.002,0.00219660306912038,0.0164106305617512,3.16916705989623e-05,0.000300937082692048
1e-06,0.014,0.00219660306912038,0.0133087306701415,3.16916705989623e-05,0.00020875059930813
1e-05,0.06,0.00219660306912038,0.0078774486974863,3.16916705989623e-05,9.36824852392931e-05
1e-04,0.142,0.00219660306912038,-0.00232696356653334,3.16916705989623e-05,3.7043046697738e-05
0.001,0.492,0.00591122652042966,-0.000423832737197405,1.71756521526744e-05,1.73209350374893e-05
0.01,0.956,0.0136187001419265,-9.20849983886897e-05,1.23497800184948e-05,1.23335601053861e-05
0.1,0.988,0.0222800098374634,-8.42115862926434e-05,2.05547965995388e-05,2.05207785976056e-05
0.9,0.938,0.238677097374591,-0.00175829660295633,0.0039287281283791,0.00392396227906631
0.99,0.894,1.40514615357558,-0.0158681927213786,0.161143021123057,0.161072534621053
0.999,0.554,3.41256384914726,-0.0292973749732293,4.57114652213993,4.56286256527598
0.9999,0.052,1.47770278176966,-2.88451413728799,71.0653322150409,79.2436233588251
0.99999,0,0,-19.7665954010689,431.438995344265,821.294411103133
0.999999,0,0,-64.5902058953426,431.438995344265,4602.47081495632
0.9999999,0,0,-129.761650339024,431.438995344265,17268.6620160607
0.99999999,0,0,-222.300860060451,431.438995344265,49848.2485009698
0.999999999,0,0,-351.154498070163,431.438995344265,123740.057632262
0.9999999999,0,0,-527.631687692207,431.438995344265,278825.773974281
