"p","est_coverage","ci_width","bias","variance","MSE"
0.434356565656566,0.942,0.0414682383575862,-0.000417945686550363,0.000106583285801948,0.00010654479782725
0.444455555555556,0.944,0.0424502639067882,-0.000365561742630847,0.000114177719044497,0.000114082998994084
0.454554545454545,0.956,0.0434639183052878,-0.000361154653780671,0.00011598163144965,0.000115880100870698
0.464653535353535,0.954,0.0445209597694682,-0.000234862822590913,0.000121277845813851,0.000121090450667659
0.474752525252525,0.952,0.0456048582987661,-0.000340078906146253,0.000129064560873268,0.000128922085413927
0.484851515151515,0.954,0.0467306494979601,-0.000391984656974886,0.000139285172874698,0.000139160254500252
0.494950505050505,0.95,0.0478900309456294,-0.000638541356964414,0.000149302884134735,0.000149412013431019
0.505049494949495,0.954,0.0490952539367701,-0.000857916497978862,0.000155448798903599,0.000155873922023297
0.515148484848485,0.948,0.0503518404544635,-0.000946747050612478,0.000163110310464467,0.000163680419821381
0.525247474747475,0.95,0.051660506076123,-0.00099986560754844,0.000170636533708019,0.000171294991873761
0.535346464646465,0.944,0.0530357583696479,-0.000803939240383611,0.000184112015029455,0.000184390109301624
0.545445454545455,0.958,0.0544572241043648,-0.000716408605012618,0.000191475531004651,0.000191605821231978
0.555544444444444,0.96,0.0559382887947739,-0.000555192278632131,0.000205059080547875,0.000204957200853032
0.565643434343434,0.974,0.0574774235835133,-0.000461805815039604,0.00021034817250748,0.000210140740773269
0.575742424242424,0.962,0.059067617337605,-0.000467576784130461,0.000226089460900325,0.000225855910027582
0.585841414141414,0.972,0.0607185096793236,-0.00058189399477849,0.000233844619305139,0.000233715530687688
0.595940404040404,0.964,0.0624373913433272,-0.000628297766908933,0.000248258990583334,0.00024815723068607
0.606039393939394,0.95,0.0642449996583506,-0.000445387184000549,0.000263964514895069,0.00026363495560895
0.616138383838384,0.958,0.0661316171528482,-0.000212064929148824,0.000277729575685606,0.00027721908806841
0.626237373737374,0.962,0.0680897935026356,-0.000300770232106172,0.000289083625095564,0.000288595920577894
0.636336363636364,0.956,0.0701560704980706,-0.000135819088793892,0.000305246277527813,0.000304654231797638
0.646435353535354,0.966,0.0722987799128557,-0.000396999494832888,0.000318775753652018,0.000318295810743611
0.656534343434343,0.96,0.0745611065414659,-0.000587242511704059,0.000349761663292669,0.000349406993733636
0.666633333333333,0.952,0.0769435853929552,-0.000994130613284859,0.000376435473527011,0.000376670898256228
0.676732323232323,0.956,0.0795000426804513,-0.00106831078409278,0.000408543865424058,0.000408868065624619
0.686831313131313,0.958,0.0822166601859512,-0.00125624888220395,0.000430812335752522,0.000431528872335055
0.696930303030303,0.952,0.0851104506933371,-0.00149692318287846,0.000467872655089262,0.000469177688794522
0.707029292929293,0.944,0.0882253415566028,-0.00141478546681588,0.000506934089850185,0.000507921839587598
0.717128282828283,0.948,0.0915360557784729,-0.0011236668387219,0.000529545919585193,0.000529749454910466
0.727227272727273,0.948,0.0950422736793917,-0.000675849683240754,0.000573954387157035,0.000573263251177057
0.737326262626263,0.94,0.0987247834496358,-0.000717505914685125,0.000630069480826328,0.000629324156602284
0.747425252525252,0.954,0.102645015230761,-0.000861962148023812,0.000657807836547355,0.000657235199618886
0.757524242424242,0.96,0.106874485046639,-0.000675536167014317,0.000706071642397799,0.000705115848225948
0.767623232323232,0.954,0.111392085971547,-0.000908157479338379,0.000768979351828857,0.000768266143132477
0.777722222222222,0.954,0.116359102678987,-0.000224202471020202,0.000830822769791342,0.000829211390999771
0.787821212121212,0.95,0.121656424137259,-0.000436826410580675,0.000909232288064673,0.000907604640801525
0.797920202020202,0.942,0.127416166507096,-0.000508603002609759,0.00101185906330257,0.00101009402219023
0.808019191919192,0.952,0.133690231214868,3.48122654982941e-06,0.00111992141190994,0.00111768158120506
0.818118181818182,0.958,0.140423962454225,3.79980486592046e-06,0.00125118722751534,0.00124868486749883
0.828217171717172,0.942,0.147850803079797,-5.65718524438932e-05,0.00139965062360444,0.00139685452273172
0.838316161616162,0.952,0.15615106073338,-0.00166123557499184,0.00150788872103182,0.00150763264722538
0.848415151515151,0.95,0.165906774875085,-0.00116228422077999,0.00175352671484602,0.00175137056602621
0.858514141414141,0.954,0.176910401585383,-0.000320003487905016,0.00201961039519223,0.00201567357663412
0.868613131313131,0.96,0.188982166297025,-0.0004543194720682,0.00238791890926954,0.00238334947763371
0.878712121212121,0.942,0.203009733662787,-0.000194787086101507,0.0028227413258139,0.00281713378517119
0.888811111111111,0.95,0.219336136830759,0.000220961118711323,0.0031457892854189,0.00313954653066404
0.898910101010101,0.958,0.238231758071261,0.00155511261678203,0.00366749484089047,0.00366257822645956
0.909009090909091,0.946,0.259681026268606,0.00256296888070523,0.00454619389611938,0.0045436703178106
0.919108080808081,0.944,0.28509976690485,0.00121166820536996,0.00557331166485811,0.00556363318136829
0.929207070707071,0.95,0.319591464074357,0.00134864923360676,0.00666138426612588,0.00664988035234894
0.939306060606061,0.952,0.361749318819167,-0.000948415572809335,0.00814105568581876,0.00812567306654587
0.949405050505051,0.942,0.420440660659154,-0.00214358605301692,0.0105505590292193,0.0105340528723275
0.95950404040404,0.95,0.50343216897181,-0.0029081620035095,0.0152274963760433,0.0152054987895299
0.96960303030303,0.938,0.632019216936547,0.000397397100098226,0.0248958009950662,0.0248461673175312
0.97970202020202,0.938,0.855179740168823,0.00688093051121362,0.0517429295821497,0.0516867909276855
0.98980101010101,0.916,1.47641326313776,0.0333589929656834,0.149208690651496,0.150023095681877
0.9999,0.04,1.4690691221476,-3.62564358703788,68.7259959394528,81.7338353678028
