"quantity","method","est_coverage","ci_width","bias","variance","MSE","mu","sigma","efficiency","alpha","ci_target_coverage","n_draws","asymmetry"
"HPD_L","Batches",0.996,1.60215303196986,0.180063069733507,0.0321815171097169,0.0645398631573512,2.58,0.254,0.05,0.95,0.95,10000,"moderate"
"HPD_L","Doss",0.782,0.562903770158876,0.0481926134017168,0.0464047523674869,0.0486808756016068,2.58,0.254,0.05,0.95,0.95,10000,"moderate"
"HPD_L","Doss_SBM",0.708,0.499839181796636,0.0433868527117432,0.0506164590275533,0.0523976450977287,2.58,0.254,0.05,0.95,0.95,10000,"moderate"
"HPD_L","Gamma_mixture",0.608,0.265959891074097,0.0398393222393771,0.0228358138861951,0.0243773138549156,2.58,0.254,0.05,0.95,0.95,10000,"moderate"
"HPD_L","Gaussian_mixture",0.606,0.280467354194546,0.0243574988510511,0.0265977210303957,0.0271378133386139,2.58,0.254,0.05,0.95,0.95,10000,"moderate"
"HPD_L","Meeker",0.434,0.267245180011456,0.0431760371393119,0.0506441462429976,0.0524070281335668,2.58,0.254,0.05,0.95,0.95,10000,"moderate"
"HPD_L","SPIn",0.432,0.26914467902255,0.0358067355823979,0.0514427556741114,0.0526219924758309,2.58,0.254,0.05,0.95,0.95,10000,"moderate"
"HPD_L","Stan",0.796,0.636941111326361,0.0431760371393119,0.0506441462429976,0.0524070281335668,2.58,0.254,0.05,0.95,0.95,10000,"moderate"
"HPD_U","Batches",0.99,2.96872907590089,-0.176003645210182,0.120588304692905,0.151324411210791,2.58,0.254,0.05,0.95,0.95,10000,"moderate"
"HPD_U","Doss",0.929,1.27648410942646,-0.0185214103885035,0.125298443682648,0.125516187881745,2.58,0.254,0.05,0.95,0.95,10000,"moderate"
"HPD_U","Doss_SBM",0.89,1.16306270481093,-0.0293038595874084,0.128589465396978,0.129191002652903,2.58,0.254,0.05,0.95,0.95,10000,"moderate"
"HPD_U","Gamma_mixture",0.524,0.470372019762107,0.0483896122366703,0.113659538086706,0.115773773582948,2.58,0.254,0.05,0.95,0.95,10000,"moderate"
"HPD_U","Gaussian_mixture",0.508,0.496983107675867,0.0787880241494062,0.119231487485879,0.125200577260275,2.58,0.254,0.05,0.95,0.95,10000,"moderate"
"HPD_U","Meeker",0.478,0.474669099251788,-0.0293038595874084,0.128589465396978,0.129191002652903,2.58,0.254,0.05,0.95,0.95,10000,"moderate"
"HPD_U","SPIn",0.478,0.474787365849165,-0.0242741968564084,0.128739605006322,0.129071362429333,2.58,0.254,0.05,0.95,0.95,10000,"moderate"
"HPD_U","Stan",0.946,1.36160214611747,-0.0293038595874084,0.128589465396978,0.129191002652903,2.58,0.254,0.05,0.95,0.95,10000,"moderate"
