"quantity","method","est_coverage","ci_width","bias","variance","MSE","mu","sigma","efficiency","alpha","ci_target_coverage","n_draws","asymmetry"
"HPD_L","Batches",0.992,0.976423786259532,0.0921780702154926,0.0112868328174576,0.0197610557804749,2.58,0.254,0.5,0.95,0.95,10000,"moderate"
"HPD_L","Doss",0.634,0.253171871904607,0.0254916342737678,0.0187939878662539,0.0194250172963352,2.58,0.254,0.5,0.95,0.95,10000,"moderate"
"HPD_L","Doss_SBM",0.52,0.205469839472644,0.014260442579768,0.0213075506336533,0.0214682957549569,2.58,0.254,0.5,0.95,0.95,10000,"moderate"
"HPD_L","Gamma_mixture",0.976,0.266830267668905,0.0301821169469807,0.00272958653667781,0.00363508754700567,2.58,0.254,0.5,0.95,0.95,10000,"moderate"
"HPD_L","Gaussian_mixture",0.976,0.284703874272775,-0.00621683944182894,0.00435637727403493,0.00438631361213234,2.58,0.254,0.5,0.95,0.95,10000,"moderate"
"HPD_L","Meeker",0.642,0.271659928681613,0.014061809247811,0.0212988575620387,0.0214539943262364,2.58,0.254,0.5,0.95,0.95,10000,"moderate"
"HPD_L","SPIn",0.64,0.274093273018721,0.00679511455485751,0.0216991783107625,0.0217019535359546,2.58,0.254,0.5,0.95,0.95,10000,"moderate"
"HPD_L","Stan",0.672,0.298797577067567,0.014061809247811,0.0212988575620387,0.0214539943262364,2.58,0.254,0.5,0.95,0.95,10000,"moderate"
"HPD_U","Batches",0.996,1.35617321086251,-0.0683782145769961,0.0225230295662129,0.0271535637358182,2.58,0.254,0.5,0.95,0.95,10000,"moderate"
"HPD_U","Doss",0.853,0.516031476709723,-0.00452646648037467,0.0306657165206652,0.0306555397029425,2.58,0.254,0.5,0.95,0.95,10000,"moderate"
"HPD_U","Doss_SBM",0.864,0.542408431525434,-0.0217770137782987,0.0327355004514804,0.0331442677796776,2.58,0.254,0.5,0.95,0.95,10000,"moderate"
"HPD_U","Gamma_mixture",0.864,0.464875483694646,0.104702287445641,0.0127771129037441,0.0237141276742862,2.58,0.254,0.5,0.95,0.95,10000,"moderate"
"HPD_U","Gaussian_mixture",0.81,0.506313483522274,0.102388069612823,0.023648259483508,0.0340842797635813,2.58,0.254,0.5,0.95,0.95,10000,"moderate"
"HPD_U","Meeker",0.82,0.474755935219507,-0.0217770137782987,0.0327355004514804,0.0331442677796776,2.58,0.254,0.5,0.95,0.95,10000,"moderate"
"HPD_U","SPIn",0.822,0.475128924334734,-0.0164397463955666,0.0328492408013079,0.0330538075812558,2.58,0.254,0.5,0.95,0.95,10000,"moderate"
"HPD_U","Stan",0.862,0.548396060373852,-0.0217770137782987,0.0327355004514804,0.0331442677796776,2.58,0.254,0.5,0.95,0.95,10000,"moderate"
