"quantity","method","est_coverage","ci_width","bias","variance","MSE","mu","sigma","efficiency","alpha","ci_target_coverage","n_draws","asymmetry"
"HPD_L","Batches",0.332,0.0682619820448869,0.0343820601654298,4.94505536807693e-05,0.00123147771379265,0,1,0.05,0.95,0.95,10000,"high"
"HPD_L","Doss",0.059,0.00491233951106243,0.0105325941205727,0.000107423428723542,0.00021825154420354,0,1,0.05,0.95,0.95,10000,"high"
"HPD_L","Doss_SBM",0.904,0.0424730433867316,0.00772485132313852,9.99782314431284e-05,0.000159451602944837,0,1,0.05,0.95,0.95,10000,"high"
"HPD_L","Gamma_mixture",0.074,0.0179744378690511,-0.015825953568567,9.95757118935616e-06,0.000260398462401415,0,1,0.05,0.95,0.95,10000,"high"
"HPD_L","Gaussian_mixture",0,0.146011489600654,-0.285019328813607,0.0147846332897207,0.0959910818205006,0,1,0.05,0.95,0.95,10000,"high"
"HPD_L","Meeker",0.8,0.0344542523521676,0.00772485132313852,9.99782314431284e-05,0.000159451602944837,0,1,0.05,0.95,0.95,10000,"high"
"HPD_L","SPIn",0.748,0.0320713966562857,0.00132683576794413,0.000110532478752466,0.000112071906950056,0,1,0.05,0.95,0.95,10000,"high"
"HPD_L","Stan",0.618,0.0235192476665582,0.00772485132313852,9.99782314431284e-05,0.000159451602944837,0,1,0.05,0.95,0.95,10000,"high"
"HPD_U","Batches",1,2.99727105429703,0.0769649992671113,0.126922704853405,0.132592470555884,0,1,0.05,0.95,0.95,10000,"high"
"HPD_U","Doss",0.921,1.22664377050712,0.0427315298357539,0.121431566318426,0.123136118394211,0,1,0.05,0.95,0.95,10000,"high"
"HPD_U","Doss_SBM",0.904,1.23299552813869,0.036282248439824,0.12092329496703,0.121997849928945,0,1,0.05,0.95,0.95,10000,"high"
"HPD_U","Gamma_mixture",0.49,0.445664636683971,0.0322588500606897,0.121888161153405,0.122685018238336,0,1,0.05,0.95,0.95,10000,"high"
"HPD_U","Gaussian_mixture",0.388,0.446788155234943,0.134217383331488,0.162580749742198,0.180269894231065,0,1,0.05,0.95,0.95,10000,"high"
"HPD_U","Meeker",0.45,0.435630136773879,0.036282248439824,0.12092329496703,0.121997849928945,0,1,0.05,0.95,0.95,10000,"high"
"HPD_U","SPIn",0.45,0.434618643076137,0.0374034311398858,0.120753536121759,0.121911045710552,0,1,0.05,0.95,0.95,10000,"high"
"HPD_U","Stan",0.936,1.29086909616723,0.036282248439824,0.12092329496703,0.121997849928945,0,1,0.05,0.95,0.95,10000,"high"
