"quantity","method","est_coverage","ci_width","bias","variance","MSE","mu","sigma","efficiency","alpha","ci_target_coverage","n_draws","asymmetry"
"HPD_L","Batches",0.13,0.108424947998188,0.0592239223037868,0.000161671492922129,0.00366882112298126,0,1,0.05,0.95,0.95,4000,"high"
"HPD_L","Doss",0.103,0.00851353836300519,0.0182025909889074,0.000231647577634666,0.000562750248766485,0,1,0.05,0.95,0.95,4000,"high"
"HPD_L","Gamma_mixture",0.422,0.0278154783411064,-0.0149778780435937,3.16805126088347e-05,0.000255953982272384,0,1,0.05,0.95,0.95,4000,"high"
"HPD_L","Gaussian_mixture",0.002,0.244309288310276,-0.227152339810547,0.00365692344425758,0.0552477950787755,0,1,0.05,0.95,0.95,4000,"high"
"HPD_L","Meeker",0.904,0.0484758085532968,0.0145390033427394,0.000198726163174594,0.000409711329048433,0,1,0.05,0.95,0.95,4000,"high"
"HPD_L","SPIn",0.83,0.0397853143006511,0.00385721159021223,0.000220798088673623,0.000235234573747943,0,1,0.05,0.95,0.95,4000,"high"
"HPD_U","Batches",0.996,4.79642526609756,0.0997466820901595,0.341365820485829,0.350632489432853,0,1,0.05,0.95,0.95,4000,"high"
"HPD_U","Doss",0.891,1.8647793631621,0.018047048548002,0.289848093639492,0.289883941507146,0,1,0.05,0.95,0.95,4000,"high"
"HPD_U","Gamma_mixture",0.496,0.681108468214677,-0.0195401578701914,0.285306944569368,0.285118148449821,0,1,0.05,0.95,0.95,4000,"high"
"HPD_U","Gaussian_mixture",0.47,0.746171658713134,0.107531120998618,0.352166567449962,0.363025176298281,0,1,0.05,0.95,0.95,4000,"high"
"HPD_U","Meeker",0.488,0.693630742275855,0.00614713564699519,0.288056249209037,0.287517923987282,0,1,0.05,0.95,0.95,4000,"high"
"HPD_U","SPIn",0.484,0.696772563876007,0.0050865362880709,0.285285594673662,0.284740896335725,0,1,0.05,0.95,0.95,4000,"high"
