"quantity","method","est_coverage","ci_width","bias","variance","MSE","mu","sigma","efficiency","alpha","ci_target_coverage","n_draws","asymmetry"
"HPD_L","Batches",0.97,1.23887690345303,0.170892650938633,0.0228124504783178,0.0519711237221947,2.58,0.254,0.999,0.95,0.95,4000,"moderate"
"HPD_L","Doss",0.576,0.355946300134394,0.0569076011058748,0.0426706103702453,0.0458664148235004,2.58,0.254,0.999,0.95,0.95,4000,"moderate"
"HPD_L","Gamma_mixture",0.992,0.422292505924464,0.0308453439445943,0.004576127243791,0.00551841023236374,2.58,0.254,0.999,0.95,0.95,4000,"moderate"
"HPD_L","Gaussian_mixture",0.992,0.456576055300045,0.0136828697287828,0.00763755607603956,0.00780950188790232,2.58,0.254,0.999,0.95,0.95,4000,"moderate"
"HPD_L","Meeker",0.644,0.444981225595402,0.0461123384083059,0.046508857397948,0.0485421874366342,2.58,0.254,0.999,0.95,0.95,4000,"moderate"
"HPD_L","SPIn",0.644,0.461285067192946,0.00945387675655818,0.0601540007227982,0.0601230685070808,2.58,0.254,0.999,0.95,0.95,4000,"moderate"
"HPD_U","Batches",0.988,1.87677095725244,-0.0864169255169575,0.0421183348571207,0.0495019832032099,2.58,0.254,0.999,0.95,0.95,4000,"moderate"
"HPD_U","Doss",0.826,0.72513922833227,-0.000716822336034731,0.0684608269567201,0.0683928799640248,2.58,0.254,0.999,0.95,0.95,4000,"moderate"
"HPD_U","Gamma_mixture",0.968,0.732008069311157,0.105447894040866,0.0213361187389311,0.0324127048591069,2.58,0.254,0.999,0.95,0.95,4000,"moderate"
"HPD_U","Gaussian_mixture",0.814,0.782506925552506,0.168403898378467,0.0461097735728891,0.0743774270148083,2.58,0.254,0.999,0.95,0.95,4000,"moderate"
"HPD_U","Meeker",0.842,0.773484031094022,-0.0215612417580257,0.0689387117530982,0.06926572147574,2.58,0.254,0.999,0.95,0.95,4000,"moderate"
"HPD_U","SPIn",0.844,0.773135373263169,-0.00893003115131906,0.0697010807370292,0.0696414240319187,2.58,0.254,0.999,0.95,0.95,4000,"moderate"
