"quantity","method","est_coverage","ci_width","bias","variance","MSE","mu","sigma","efficiency","alpha","ci_target_coverage","n_draws","asymmetry"
"HPD_L","Batches",0.982,2.29463474623899,0.370099555596097,0.0682280336547789,0.205065258639898,2.58,0.254,0.05,0.95,0.95,4000,"moderate"
"HPD_L","Doss",0.794,0.822375628019846,0.0656974799102045,0.0878841486078513,0.0921124233257952,2.58,0.254,0.05,0.95,0.95,4000,"moderate"
"HPD_L","Gamma_mixture",0.626,0.425515958057899,0.0439123214512544,0.0570547835634785,0.0588689659715899,2.58,0.254,0.05,0.95,0.95,4000,"moderate"
"HPD_L","Gaussian_mixture",0.606,0.452496718578743,0.0614333560446879,0.0631518110898075,0.0667995647025413,2.58,0.254,0.05,0.95,0.95,4000,"moderate"
"HPD_L","Meeker",0.498,0.431312214807406,0.0471441901424461,0.0899951636311942,0.0920377479681189,2.58,0.254,0.05,0.95,0.95,4000,"moderate"
"HPD_L","SPIn",0.5,0.445671047168974,0.00853236362740557,0.101449449436795,0.101319351766992,2.58,0.254,0.05,0.95,0.95,4000,"moderate"
"HPD_U","Batches",0.99,4.56732737183848,-0.268960354505921,0.267557894346219,0.339362450853477,2.58,0.254,0.05,0.95,0.95,4000,"moderate"
"HPD_U","Doss",0.918,1.96479949084791,0.0142815310744666,0.281053597715713,0.280976506247828,2.58,0.254,0.05,0.95,0.95,4000,"moderate"
"HPD_U","Gamma_mixture",0.474,0.735170637839012,0.0924319996146428,0.259647526232116,0.267671905732414,2.58,0.254,0.05,0.95,0.95,4000,"moderate"
"HPD_U","Gaussian_mixture",0.488,0.764498860071577,0.198514255648422,0.272387975865072,0.311251109608989,2.58,0.254,0.05,0.95,0.95,4000,"moderate"
"HPD_U","Meeker",0.5,0.768540982457606,-0.015680447114737,0.275246397347396,0.274941780974419,2.58,0.254,0.05,0.95,0.95,4000,"moderate"
"HPD_U","SPIn",0.498,0.769133713293191,-0.00347281938341215,0.276441601730739,0.275900779001747,2.58,0.254,0.05,0.95,0.95,4000,"moderate"
