"quantity","min","max","point","lwr","upr","phat_lwr","phat_upr","type","method","n_boot","batch_size","nu","replicate","true_value","covers"
"HPD_L",0.789348859761345,8.17421523734197,1.12684646226797,1.02798316280818,1.1875592606652,NA,NA,"normal","bootstrap",300,92,"estimated",1,1.11432274491664,TRUE
"HPD_L",0.789348859761345,8.17421523734197,1.12684646226797,1.07699789665411,1.24334961087727,NA,NA,"percent","bootstrap",300,92,"estimated",1,1.11432274491664,TRUE
"HPD_L",0.789348859761345,8.17421523734197,1.12684646226797,1.01034331365866,1.17669502788183,NA,NA,"basic","bootstrap",300,92,"estimated",1,1.11432274491664,TRUE
"HPD_L",0.797534721117783,5.80816176977622,1.18876121289083,1.13646133503137,1.31022742816565,NA,NA,"normal","bootstrap",300,100,"0.5",183,1.11432274491664,FALSE
"HPD_L",0.583227883966951,7.09925791055396,1.0958445692994,0.989087910998565,1.19204362686538,NA,NA,"normal","bootstrap",300,6,"0.2",122,1.11432274491664,TRUE
"HPD_L",0.859562291165571,6.25803150518092,1.08191731321617,0.973628037955209,1.11879587360497,NA,NA,"normal","bootstrap",300,101,"estimated",62,1.11432274491664,TRUE
"HPD_L",0.789348859761345,8.17421523734197,1.12684646226797,1.03664254202991,1.18326566721386,NA,NA,"normal","bootstrap",300,100,"0.5",1,1.11432274491664,TRUE
"HPD_L",0.789348859761345,8.17421523734197,1.12684646226797,1.07838997184047,1.24225030683408,NA,NA,"percent","bootstrap",300,100,"0.5",1,1.11432274491664,TRUE
"HPD_L",0.789348859761345,8.17421523734197,1.12684646226797,1.01144261770186,1.17530295269546,NA,NA,"basic","bootstrap",300,100,"0.5",1,1.11432274491664,TRUE
"HPD_L",0.797534721117783,5.80816176977622,1.18876121289083,1.14232686962172,1.29976039761093,NA,NA,"normal","bootstrap",300,6,"0.2",183,1.11432274491664,FALSE
"HPD_L",0.780712158266808,9.59313243290545,1.09794797073355,1.00855430010314,1.17197160378978,NA,NA,"normal","bootstrap",300,99,"estimated",123,1.11432274491664,TRUE
