"quantity","min","max","point","lwr","upr","phat_lwr","phat_upr","type","method","n_boot","batch_size","nu","replicate","true_value","covers"
"HPD_L",48.8456779539503,62.166412930721,51.3730160156285,51.1405512856952,51.5376018636417,NA,NA,"normal","bootstrap",300,97,"estimated",1,51.4778063217952,TRUE
"HPD_L",48.8456779539503,62.166412930721,51.3730160156285,51.2032559848818,51.6712703933382,NA,NA,"percent","bootstrap",300,97,"estimated",1,51.4778063217952,TRUE
"HPD_L",48.8456779539503,62.166412930721,51.3730160156285,51.0747616379188,51.5427760463752,NA,NA,"basic","bootstrap",300,97,"estimated",1,51.4778063217952,TRUE
"HPD_L",47.9471076665224,62.3078169569941,51.3463664122458,50.9806864424299,51.5631717527968,NA,NA,"normal","bootstrap",300,100,"0.5",183,51.4778063217952,TRUE
"HPD_L",47.245245181618,63.9510904516832,51.4603193390421,51.2109821142746,51.7832505633682,NA,NA,"normal","bootstrap",300,6,"0.2",122,51.4778063217952,TRUE
"HPD_L",48.8176779757031,64.2207189357053,51.4774058871798,51.2333249509167,51.7393998747546,NA,NA,"normal","bootstrap",300,92,"estimated",62,51.4778063217952,TRUE
"HPD_L",48.8456779539503,62.166412930721,51.3730160156285,51.1497840533546,51.5300816348662,NA,NA,"normal","bootstrap",300,100,"0.5",1,51.4778063217952,TRUE
"HPD_L",48.8456779539503,62.166412930721,51.3730160156285,51.2032559848818,51.636498753963,NA,NA,"percent","bootstrap",300,100,"0.5",1,51.4778063217952,TRUE
"HPD_L",48.8456779539503,62.166412930721,51.3730160156285,51.109533277294,51.5427760463752,NA,NA,"basic","bootstrap",300,100,"0.5",1,51.4778063217952,TRUE
"HPD_L",47.9471076665224,62.3078169569941,51.3463664122458,51.0652369134115,51.5061238939262,NA,NA,"normal","bootstrap",300,6,"0.2",183,51.4778063217952,TRUE
"HPD_L",47.9536131689596,63.4013730070711,51.1566489656203,50.685260764908,51.4200235460249,NA,NA,"normal","bootstrap",300,107,"estimated",123,51.4778063217952,FALSE
"HPD_L",48.8176779757031,64.2207189357053,51.4774058871798,51.2779127699043,51.697053640334,NA,NA,"normal","bootstrap",300,100,"0.5",62,51.4778063217952,TRUE
"HPD_L",48.8456779539503,62.166412930721,51.3730160156285,51.1920861589298,51.5192924082741,NA,NA,"normal","bootstrap",300,6,"0.2",1,51.4778063217952,TRUE
"HPD_L",48.8456779539503,62.166412930721,51.3730160156285,51.2032559848818,51.5291209816769,NA,NA,"percent","bootstrap",300,6,"0.2",1,51.4778063217952,TRUE
"HPD_L",48.8456779539503,62.166412930721,51.3730160156285,51.2169110495801,51.5427760463752,NA,NA,"basic","bootstrap",300,6,"0.2",1,51.4778063217952,TRUE
"HPD_L",48.9909054274859,62.1007682000585,51.526413397854,51.20914275562,51.8355610039291,NA,NA,"normal","bootstrap",300,99,"estimated",184,51.4778063217952,TRUE
"HPD_L",47.9536131689596,63.4013730070711,51.1566489656203,50.6597074875898,51.4375177229366,NA,NA,"normal","bootstrap",300,100,"0.5",123,51.4778063217952,FALSE
"HPD_L",48.8176779757031,64.2207189357053,51.4774058871798,51.2921615003618,51.6750729356805,NA,NA,"normal","bootstrap",300,6,"0.2",62,51.4778063217952,TRUE
"HPD_L",49.3856477828115,62.4712486664209,51.6203668508206,51.4466390909025,51.9603817008454,NA,NA,"normal","bootstrap",300,98,"estimated",2,51.4778063217952,TRUE
"HPD_L",49.3856477828115,62.4712486664209,51.6203668508206,51.2156658365674,51.7800359829914,NA,NA,"percent","bootstrap",300,98,"estimated",2,51.4778063217952,TRUE
"HPD_L",49.3856477828115,62.4712486664209,51.6203668508206,51.4606977186499,52.0250678650738,NA,NA,"basic","bootstrap",300,98,"estimated",2,51.4778063217952,TRUE
"HPD_L",48.9909054274859,62.1007682000585,51.526413397854,51.2081782743814,51.853663803165,NA,NA,"normal","bootstrap",300,100,"0.5",184,51.4778063217952,TRUE
"HPD_L",47.9536131689596,63.4013730070711,51.1566489656203,50.7269502905082,51.3696983070003,NA,NA,"normal","bootstrap",300,6,"0.2",123,51.4778063217952,FALSE
"HPD_L",49.2952286245436,63.7729508990829,51.4825446096565,51.2055772289694,51.7270462231368,NA,NA,"normal","bootstrap",300,101,"estimated",63,51.4778063217952,TRUE
"HPD_L",49.3856477828115,62.4712486664209,51.6203668508206,51.4454886003496,51.9414718387135,NA,NA,"normal","bootstrap",300,100,"0.5",2,51.4778063217952,TRUE
"HPD_L",49.3856477828115,62.4712486664209,51.6203668508206,51.2225892676571,51.7747172850468,NA,NA,"percent","bootstrap",300,100,"0.5",2,51.4778063217952,TRUE
"HPD_L",49.3856477828115,62.4712486664209,51.6203668508206,51.4660164165945,52.0181444339841,NA,NA,"basic","bootstrap",300,100,"0.5",2,51.4778063217952,TRUE
"HPD_L",48.9909054274859,62.1007682000585,51.526413397854,51.2985538431697,51.7524356097953,NA,NA,"normal","bootstrap",300,6,"0.2",184,51.4778063217952,TRUE
"HPD_L",48.5093444862552,62.4751882335787,51.60114008444,51.3618922134565,51.944107815129,NA,NA,"normal","bootstrap",300,102,"estimated",124,51.4778063217952,TRUE
"HPD_L",49.2952286245436,63.7729508990829,51.4825446096565,51.1989886777143,51.7442403470263,NA,NA,"normal","bootstrap",300,100,"0.5",63,51.4778063217952,TRUE
"HPD_L",49.3856477828115,62.4712486664209,51.6203668508206,51.4902019332286,51.9331366152949,NA,NA,"normal","bootstrap",300,6,"0.2",2,51.4778063217952,FALSE
"HPD_L",49.3856477828115,62.4712486664209,51.6203668508206,51.2507783306516,51.7058696771508,NA,NA,"percent","bootstrap",300,6,"0.2",2,51.4778063217952,TRUE
"HPD_L",49.3856477828115,62.4712486664209,51.6203668508206,51.5348640244905,51.9899553709897,NA,NA,"basic","bootstrap",300,6,"0.2",2,51.4778063217952,FALSE
"HPD_L",47.3492675019103,63.1936727686045,51.3296645684252,50.9078629360922,51.6465414068433,NA,NA,"normal","bootstrap",300,102,"estimated",185,51.4778063217952,TRUE
"HPD_L",48.5093444862552,62.4751882335787,51.60114008444,51.3734191323001,51.9545523592841,NA,NA,"normal","bootstrap",300,100,"0.5",124,51.4778063217952,TRUE
"HPD_L",49.2952286245436,63.7729508990829,51.4825446096565,51.2935752949486,51.6391937707315,NA,NA,"normal","bootstrap",300,6,"0.2",63,51.4778063217952,TRUE
"HPD_L",48.7152536598795,63.7121594508105,51.4888015654083,51.1831660876683,51.7970837273045,NA,NA,"normal","bootstrap",300,104,"estimated",3,51.4778063217952,TRUE
"HPD_L",48.7152536598795,63.7121594508105,51.4888015654083,51.1185956020402,51.8233999540622,NA,NA,"percent","bootstrap",300,104,"estimated",3,51.4778063217952,TRUE
